hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17932, 83.1551, 8.17932, -36.8449, 8.17932, -156.845, 1.59621E-009, -36.845
2, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1549, 8.17931, -36.8451, 8.17931, -156.845, 1.59621E-009, -36.8451
3, 0.00000, 8097.09, -0.208971, 8097.09, -120.209, 8097.09, 119.791, 0, 0, 2.96403, -0.208968, 2.96403, -120.209, 2.96403, 119.791, 5.78436E-010, -120.209
4, 0.00000, 8163.38, -0.886709, 8163.38, -120.887, 8163.38, 119.113, 0, 0, 9.28117, 60.7442, 9.28117, -59.2558, 9.28117, -179.256, 1.81124E-009, -59.2559
5, 0.00000, 8148.47, -0.992172, 8148.47, -120.992, 8148.47, 119.008, 0, 0, 10.0815, 53.254, 10.0815, -66.746, 10.0815, 173.254, 1.96743E-009, -66.7461
6, 0.00000, 7455.14, -1.60788, 7455.14, -121.608, 7455.14, 118.392, 0, 0, 15.0235, 34.921, 15.0235, -85.079, 15.0235, 154.921, 2.93186E-009, -85.0791
7, 0.00000, 7409.27, -2.51728, 7409.27, -122.517, 7409.27, 117.483, 0, 0, 25.8617, 17.8426, 25.8617, -102.157, 25.8617, 137.843, 5.04697E-009, -102.157
8, 0.00000, 7550.4, -3.20878, 7550.4, -123.209, 7550.4, 116.791, 0, 0, 36.0627, 10.9635, 36.0627, -109.036, 36.0627, 130.964, 7.03771E-009, -109.037
9, 0.00000, 7647.9, -3.44982, 7647.9, -123.45, 7647.9, 116.55, 0, 0, 40.1834, 9.07892, 40.1834, -110.921, 40.1834, 129.079, 7.84188E-009, -110.921
10, 0.00000, 8198.63, -0.636263, 8198.63, -120.636, 8198.63, 119.364, 0, 0, 8.17892, 83.0837, 8.17892, -36.9163, 8.17892, -156.916, 1.59613E-009, -36.9165
11, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1549, 8.17931, -36.8451, 8.17931, -156.845, 1.59621E-009, -36.8452
12, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1549, 8.17931, -36.8451, 8.17931, -156.845, 1.59621E-009, -36.8451
13, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1549, 8.17931, -36.8451, 8.17931, -156.845, 1.59621E-009, -36.8451
14, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1549, 8.17931, -36.8451, 8.17931, -156.845, 1.59621E-009, -36.8451
15, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1549, 8.17931, -36.8451, 8.17931, -156.845, 1.59621E-009, -36.8451
16, 0.00000, 8156.15, 0.207458, 8156.15, -119.793, 8156.15, 120.207, 0, 0, 2.94256, -179.793, 2.94256, 60.2075, 2.94256, -59.7925, 5.74247E-010, 60.2073
17, 0.00000, 8251.13, -0.262035, 8251.13, -120.262, 8251.13, 119.738, 0, 0, 9.18247, 118.107, 9.18247, -1.893, 9.18247, -121.893, 1.79198E-009, -1.89305
18, 0.00000, 8265.48, -0.15922, 8265.48, -120.159, 8265.48, 119.841, 0, 0, 9.9388, 125.595, 9.9388, 5.59466, 9.9388, -114.405, 1.93958E-009, 5.59455
19, 0.00000, 8315.15, 0.197838, 8315.15, -119.802, 8315.15, 120.198, 0, 0, 13.4696, 143.669, 13.4696, 23.669, 13.4696, -96.331, 2.62863E-009, 23.6689
20, 0.00000, 8488.29, 1.16672, 8488.29, -118.833, 8488.29, 121.167, 0, 0, 25.7114, 163.38, 25.7114, 43.3802, 25.7114, -76.6198, 5.01764E-009, 43.3802
21, 0.00000, 8207.28, 1.76461, 8207.28, -118.235, 8207.28, 121.765, 0, 0, 33.1763, 167.592, 33.1763, 47.5923, 33.1763, -72.4077, 6.47444E-009, 47.5922
22, 0.00000, 8171.83, 2.11733, 8171.83, -117.883, 8171.83, 122.117, 0, 0, 37.607, 169.589, 37.607, 49.5885, 37.607, -70.4115, 7.33909E-009, 49.5885
23, 0.00000, 8198.75, -0.635659, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1555, 8.17931, -36.8445, 8.17931, -156.845, 1.59621E-009, -36.8445
24, 0.00000, 8198.75, -0.635664, 8198.75, -120.636, 8198.75, 119.364, 0, 0, 8.17931, 83.1549, 8.17931, -36.8451, 8.17931, -156.845, 1.59621E-009, -36.845
