hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 6.32261, 178.969, 5.73226, -124.059, 6.47268, 82.0104, 0.125666, 179.511, 7.85737E-005, -34.0586, 0.125578, -0.52323
2, 0.00000, 6.28108, 178.969, 5.6946, -124.059, 6.43016, 82.0104, 0.124841, 179.511, 7.80575E-005, -34.0586, 0.124753, -0.52323
3, 0.00000, 6.35684, 178.969, 5.76329, -124.059, 6.50772, 82.0104, 0.126347, 179.511, 7.8999E-005, -34.0586, 0.126257, -0.52323
4, 0.00000, 6.35928, 178.969, 5.7655, -124.059, 6.51022, 82.0104, 0.126395, 179.511, 7.90294E-005, -34.0586, 0.126306, -0.52323
5, 0.00000, 6.4106, 178.969, 5.81203, -124.059, 6.56276, 82.0104, 0.127415, 179.511, 7.96672E-005, -34.0586, 0.127325, -0.52323
6, 0.00000, 1.29043, -1.03085, 1.16994, 55.9414, 1.32106, -97.9896, 0.0256482, -0.488974, 1.60367E-005, 145.941, 0.0256301, 179.477
7, 0.00000, 417.745, -1.03085, 378.739, 55.9414, 427.66, -97.9896, 8.30298, -0.488974, 0.00519149, 145.941, 8.29712, 179.477
8, 0.00000, 1088.03, -1.03085, 986.435, 55.9414, 1113.85, -97.9896, 21.6253, -0.488974, 0.0135213, 145.941, 21.61, 179.477
9, 0.00000, 1574.58, 0.0113298, 1501.4, 57.4266, 1588.17, -96.7997, 31.435, 0.250616, 0.0205801, 147.427, 31.4134, -179.784
10, 0.00000, 1883.06, 0.502763, 1847.68, 58.5474, 1889.7, -96.146, 38.0312, 0.693761, 0.0253266, 148.547, 38.0054, -179.34
11, 0.00000, 2065.59, 0.717112, 2052.36, 59.0353, 2068.12, -95.8617, 41.9349, 0.884412, 0.0281322, 149.035, 41.9066, -179.15
12, 0.00000, 2100.56, 0.753302, 2091.56, 59.118, 2102.33, -95.8144, 42.683, 0.916346, 0.0286696, 149.118, 42.6544, -179.118
13, 0.00000, 2078.85, 0.731065, 2067.23, 59.0671, 2081.09, -95.8433, 42.2186, 0.89673, 0.0283361, 149.067, 42.1902, -179.137
14, 0.00000, 1922.78, 0.553017, 1892.22, 58.6624, 1928.56, -96.0804, 38.8808, 0.738513, 0.0259372, 148.662, 38.8545, -179.296
15, 0.00000, 1660.8, 0.169271, 1598.23, 57.7878, 1672.48, -96.5904, 33.2786, 0.393906, 0.0219074, 147.788, 33.2558, -179.641
16, 0.00000, 1274.44, -0.752169, 1166.9, 55.9414, 1295.3, -97.65, 25.2256, -0.362365, 0.015995, 145.941, 25.2078, 179.603
17, 0.00000, 699.774, -1.03085, 634.435, 55.9414, 716.384, -97.9896, 13.9085, -0.488974, 0.00869638, 145.941, 13.8987, 179.477
18, 0.00000, 169.826, -1.03085, 153.969, 55.9414, 173.857, -97.9896, 3.37541, -0.488974, 0.0021105, 145.941, 3.37303, 179.477
19, 0.00000, 32.2998, -1.03085, 29.2839, 55.9414, 33.0665, -97.9896, 0.641982, -0.488974, 0.000401403, 145.941, 0.641529, 179.477
20, 0.00000, 6.11243, 178.969, 5.5417, -124.059, 6.25751, 82.0104, 0.121489, 179.511, 7.59617E-005, -34.0586, 0.121403, -0.52323
21, 0.00000, 6.28597, 178.969, 5.69903, -124.059, 6.43517, 82.0104, 0.124938, 179.511, 7.81183E-005, -34.0586, 0.12485, -0.52323
22, 0.00000, 6.27863, 178.969, 5.69238, -124.059, 6.42765, 82.0104, 0.124792, 179.511, 7.80271E-005, -34.0586, 0.124704, -0.52323
23, 0.00000, 6.28352, 178.969, 5.69682, -124.059, 6.43266, 82.0104, 0.124889, 179.511, 7.80879E-005, -34.0586, 0.124801, -0.52323
24, 0.00000, 6.3153, 178.969, 5.72563, -124.059, 6.46519, 82.0104, 0.125521, 179.511, 7.84828E-005, -34.0586, 0.125432, -0.52323
