hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.402576, -8.59772E-020, 0.402576, 5.68434E-017, 0.402576, 2.84217E-017, 0, 0
2, 0.00000, 16.6668, 0.000404221, 16.6668, 0.000404221, 16.6668, 0.000404221, 0, 0
3, 0.00000, 16.6667, 5.92527E-014, 16.6667, 6.00266E-014, 16.6667, 6.00266E-014, 0, 0
4, 0.00000, 16.6667, 5.55112E-020, 16.6667, 9.09495E-016, 16.6667, 0, 0, 0
5, 0.00000, 16.6667, 5.55112E-020, 16.6667, 9.09495E-016, 16.6667, 0, 0, 0
6, 0.00000, 0.402574, -9.76368E-006, 0.402574, -9.76368E-006, 0.402574, -9.76368E-006, 0, 0
7, 0.00000, 0.402576, -1.9878E-017, 0.402576, -2.84217E-017, 0.402576, -5.68434E-017, 0, 0
8, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
9, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
10, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
11, 0.00000, -16.6666, 0.000404231, -16.6666, 0.000404231, -16.6666, 0.000404231, 0, 0
12, 0.00000, -16.6667, 5.92518E-014, -16.6667, 5.63887E-014, -16.6667, 6.18456E-014, 0, 0
13, 0.00000, -16.6667, -5.55112E-020, -16.6667, 0, -16.6667, 9.09495E-016, 0, 0
14, 0.00000, -16.6667, -5.55112E-020, -16.6667, 0, -16.6667, 9.09495E-016, 0, 0
15, 0.00000, -16.6667, -5.55112E-020, -16.6667, 0, -16.6667, 9.09495E-016, 0, 0
16, 0.00000, -16.6667, -5.55112E-020, -16.6667, 0, -16.6667, 9.09495E-016, 0, 0
17, 0.00000, 0.402576, 1.62337E-017, 0.402576, 5.68434E-017, 0.402576, 5.68434E-017, 0, 0
18, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
19, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
20, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
21, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
22, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
23, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
24, 0.00000, 0.402576, 0, 0.402576, -2.84217E-017, 0.402576, -2.84217E-017, 0, 0
